0.400000 0.000000 0.000000,0.800000 0.000000 0.000000,1.200000 0.000000 0.000000,1.600000 0.000000 0.000000,2.000000 0.000000 0.000000,2.400000 0.000000 0.000000,2.800000 0.000000 0.000000,3.200000 0.000000 0.000000,3.600000 0.000000 0.000000,4.000000 0.000000 0.000000,4.400000 0.000000 0.000000,4.800000 0.000000 0.000000,5.200000 0.000000 0.000000,5.600000 0.000000 0.000000,6.000000 0.000000 0.000000,6.400000 0.000000 0.000000,6.800000 0.000000 0.000000,7.200000 0.000000 0.000000,7.600000 0.000000 0.000000,8.000000 0.000000 0.000000,8.400000 0.000000 0.000000,8.800000 0.000000 0.000000,9.200000 0.000000 0.000000,9.600000 0.000000 0.000000,10.000000 0.000000 0.000000,
0.378417 0.129617 0.000000,0.756834 0.259234 0.000000,1.135251 0.388852 0.000000,1.513668 0.518469 0.000000,1.892085 0.648086 0.000000,2.270502 0.777703 0.000000,2.648919 0.907320 0.000000,3.027335 1.036938 0.000000,3.405752 1.166555 0.000000,3.784169 1.296172 0.000000,4.162586 1.425789 0.000000,4.541003 1.555407 0.000000,4.919420 1.685024 0.000000,5.297837 1.814641 0.000000,5.676254 1.944258 0.000000,6.054671 2.073875 0.000000,6.433088 2.203493 0.000000,6.811505 2.333110 0.000000,7.189922 2.462727 0.000000,7.568339 2.592344 0.000000,7.946756 2.721961 0.000000,8.325173 2.851579 0.000000,8.703590 2.981196 0.000000,9.082006 3.110813 0.000000,9.460423 3.240430 0.000000,
0.374359 0.140910 0.000000,0.748717 0.281819 0.000000,1.123076 0.422729 0.000000,1.497435 0.563639 0.000000,1.871794 0.704548 0.000000,2.246152 0.845458 0.000000,2.620511 0.986368 0.000000,2.994870 1.127278 0.000000,3.369229 1.268187 0.000000,3.743587 1.409097 0.000000,4.117946 1.550007 0.000000,4.492305 1.690916 0.000000,4.866663 1.831826 0.000000,5.241022 1.972736 0.000000,5.615381 2.113645 0.000000,5.989740 2.254555 0.000000,6.364098 2.395465 0.000000,6.738457 2.536374 0.000000,7.112816 2.677284 0.000000,7.487175 2.818194 0.000000,7.861533 2.959104 0.000000,8.235892 3.100013 0.000000,8.610251 3.240923 0.000000,8.984610 3.381833 0.000000,9.358968 3.522742 0.000000,
0.369964 0.152075 0.000000,0.739927 0.304151 0.000000,1.109891 0.456226 0.000000,1.479854 0.608301 0.000000,1.849818 0.760377 0.000000,2.219782 0.912452 0.000000,2.589745 1.064528 0.000000,2.959709 1.216603 0.000000,3.329673 1.368678 0.000000,3.699636 1.520754 0.000000,4.069600 1.672829 0.000000,4.439563 1.824904 0.000000,4.809527 1.976980 0.000000,5.179491 2.129055 0.000000,5.549454 2.281130 0.000000,5.919418 2.433206 0.000000,6.289382 2.585281 0.000000,6.659345 2.737357 0.000000,7.029309 2.889432 0.000000,7.399272 3.041507 0.000000,7.769236 3.193583 0.000000,8.139200 3.345658 0.000000,8.509163 3.497733 0.000000,8.879127 3.649809 0.000000,9.249091 3.801884 0.000000,
0.365236 0.163104 0.000000,0.730471 0.326208 0.000000,1.095707 0.489313 0.000000,1.460942 0.652417 0.000000,1.826178 0.815521 0.000000,2.191413 0.978625 0.000000,2.556649 1.141729 0.000000,2.921885 1.304833 0.000000,3.287120 1.467938 0.000000,3.652356 1.631042 0.000000,4.017591 1.794146 0.000000,4.382827 1.957250 0.000000,4.748062 2.120354 0.000000,5.113298 2.283459 0.000000,5.478534 2.446563 0.000000,5.843769 2.609667 0.000000,6.209005 2.772771 0.000000,6.574240 2.935875 0.000000,6.939476 3.098979 0.000000,7.304712 3.262084 0.000000,7.669947 3.425188 0.000000,8.035183 3.588292 0.000000,8.400418 3.751396 0.000000,8.765654 3.914500 0.000000,9.130889 4.077605 0.000000,
0.360179 0.173986 0.000000,0.720358 0.347972 0.000000,1.080537 0.521959 0.000000,1.440715 0.695945 0.000000,1.800894 0.869931 0.000000,2.161073 1.043917 0.000000,2.521252 1.217903 0.000000,2.881431 1.391890 0.000000,3.241610 1.565876 0.000000,3.601788 1.739862 0.000000,3.961967 1.913848 0.000000,4.322146 2.087835 0.000000,4.682325 2.261821 0.000000,5.042504 2.435807 0.000000,5.402683 2.609793 0.000000,5.762861 2.783779 0.000000,6.123040 2.957766 0.000000,6.483219 3.131752 0.000000,6.843398 3.305738 0.000000,7.203577 3.479724 0.000000,7.563756 3.653710 0.000000,7.923935 3.827697 0.000000,8.284113 4.001683 0.000000,8.644292 4.175669 0.000000,9.004471 4.349655 0.000000,
0.399820 -0.011998 0.000000,0.799640 -0.023996 0.000000,1.199460 -0.035995 0.000000,1.599280 -0.047993 0.000000,1.999100 -0.059991 0.000000,2.398920 -0.071989 0.000000,2.798740 -0.083987 0.000000,3.198560 -0.095986 0.000000,3.598380 -0.107984 0.000000,3.998200 -0.119982 0.000000,4.398020 -0.131980 0.000000,4.797840 -0.143978 0.000000,5.197660 -0.155977 0.000000,5.597480 -0.167975 0.000000,5.997300 -0.179973 0.000000,6.397120 -0.191971 0.000000,6.796940 -0.203969 0.000000,7.196760 -0.215968 0.000000,7.596580 -0.227966 0.000000,7.996400 -0.239964 0.000000,8.396220 -0.251962 0.000000,8.796040 -0.263960 0.000000,9.195860 -0.275959 0.000000,9.595680 -0.287957 0.000000,9.995500 -0.299955 0.000000,
0.399280 -0.023986 0.000000,0.798560 -0.047971 0.000000,1.197841 -0.071957 0.000000,1.597121 -0.095942 0.000000,1.996401 -0.119928 0.000000,2.395681 -0.143914 0.000000,2.794962 -0.167899 0.000000,3.194242 -0.191885 0.000000,3.593522 -0.215870 0.000000,3.992802 -0.239856 0.000000,4.392082 -0.263842 0.000000,4.791363 -0.287827 0.000000,5.190643 -0.311813 0.000000,5.589923 -0.335798 0.000000,5.989203 -0.359784 0.000000,6.388483 -0.383770 0.000000,6.787764 -0.407755 0.000000,7.187044 -0.431741 0.000000,7.586324 -0.455726 0.000000,7.985604 -0.479712 0.000000,8.384885 -0.503698 0.000000,8.784165 -0.527683 0.000000,9.183445 -0.551669 0.000000,9.582725 -0.575654 0.000000,9.982005 -0.599640 0.000000,
0.398381 -0.035951 0.000000,0.796762 -0.071903 0.000000,1.195143 -0.107854 0.000000,1.593524 -0.143806 0.000000,1.991905 -0.179757 0.000000,2.390287 -0.215709 0.000000,2.788668 -0.251660 0.000000,3.187049 -0.287611 0.000000,3.585430 -0.323563 0.000000,3.983811 -0.359514 0.000000,4.382192 -0.395466 0.000000,4.780573 -0.431417 0.000000,5.178954 -0.467368 0.000000,5.577335 -0.503320 0.000000,5.975716 -0.539271 0.000000,6.374097 -0.575223 0.000000,6.772479 -0.611174 0.000000,7.170860 -0.647126 0.000000,7.569241 -0.683077 0.000000,7.967622 -0.719028 0.000000,8.366003 -0.754980 0.000000,8.764384 -0.790931 0.000000,9.162765 -0.826883 0.000000,9.561146 -0.862834 0.000000,9.959527 -0.898785 0.000000,
0.397123 -0.047885 0.000000,0.794247 -0.095770 0.000000,1.191370 -0.143655 0.000000,1.588494 -0.191540 0.000000,1.985617 -0.239424 0.000000,2.382741 -0.287309 0.000000,2.779864 -0.335194 0.000000,3.176988 -0.383079 0.000000,3.574111 -0.430964 0.000000,3.971235 -0.478849 0.000000,4.368358 -0.526734 0.000000,4.765481 -0.574619 0.000000,5.162605 -0.622503 0.000000,5.559728 -0.670388 0.000000,5.956852 -0.718273 0.000000,6.353975 -0.766158 0.000000,6.751099 -0.814043 0.000000,7.148222 -0.861928 0.000000,7.545346 -0.909813 0.000000,7.942469 -0.957698 0.000000,8.339593 -1.005583 0.000000,8.736716 -1.053467 0.000000,9.133839 -1.101352 0.000000,9.530963 -1.149237 0.000000,9.928086 -1.197122 0.000000,
0.395508 -0.059775 0.000000,0.791017 -0.119551 0.000000,1.186525 -0.179326 0.000000,1.582034 -0.239101 0.000000,1.977542 -0.298876 0.000000,2.373051 -0.358652 0.000000,2.768559 -0.418427 0.000000,3.164067 -0.478202 0.000000,3.559576 -0.537977 0.000000,3.955084 -0.597753 0.000000,4.350593 -0.657528 0.000000,4.746101 -0.717303 0.000000,5.141610 -0.777078 0.000000,5.537118 -0.836854 0.000000,5.932626 -0.896629 0.000000,6.328135 -0.956404 0.000000,6.723643 -1.016179 0.000000,7.119152 -1.075955 0.000000,7.514660 -1.135730 0.000000,7.910169 -1.195505 0.000000,8.305677 -1.255280 0.000000,8.701185 -1.315056 0.000000,9.096694 -1.374831 0.000000,9.492202 -1.434606 0.000000,9.887711 -1.494381 0.000000,
0.393537 -0.071612 0.000000,0.787075 -0.143224 0.000000,1.180612 -0.214835 0.000000,1.574150 -0.286447 0.000000,1.967687 -0.358059 0.000000,2.361225 -0.429671 0.000000,2.754762 -0.501283 0.000000,3.148300 -0.572895 0.000000,3.541837 -0.644506 0.000000,3.935375 -0.716118 0.000000,4.328912 -0.787730 0.000000,4.722450 -0.859342 0.000000,5.115987 -0.930954 0.000000,5.509525 -1.002566 0.000000,5.903062 -1.074177 0.000000,6.296600 -1.145789 0.000000,6.690137 -1.217401 0.000000,7.083675 -1.289013 0.000000,7.477212 -1.360625 0.000000,7.870750 -1.432237 0.000000,8.264287 -1.503848 0.000000,8.657824 -1.575460 0.000000,9.051362 -1.647072 0.000000,9.444899 -1.718684 0.000000,9.838437 -1.790296 0.000000,
0.391212 -0.083384 0.000000,0.782425 -0.166768 0.000000,1.173637 -0.250152 0.000000,1.564849 -0.333536 0.000000,1.956062 -0.416920 0.000000,2.347274 -0.500304 0.000000,2.738487 -0.583688 0.000000,3.129699 -0.667072 0.000000,3.520911 -0.750456 0.000000,3.912124 -0.833840 0.000000,4.303336 -0.917224 0.000000,4.694548 -1.000608 0.000000,5.085761 -1.083991 0.000000,5.476973 -1.167375 0.000000,5.868185 -1.250759 0.000000,6.259398 -1.334143 0.000000,6.650610 -1.417527 0.000000,7.041823 -1.500911 0.000000,7.433035 -1.584295 0.000000,7.824247 -1.667679 0.000000,8.215460 -1.751063 0.000000,8.606672 -1.834447 0.000000,8.997884 -1.917831 0.000000,9.389097 -2.001215 0.000000,9.780309 -2.084599 0.000000,
0.388535 -0.095081 0.000000,0.777070 -0.190162 0.000000,1.165606 -0.285243 0.000000,1.554141 -0.380324 0.000000,1.942676 -0.475405 0.000000,2.331211 -0.570486 0.000000,2.719746 -0.665567 0.000000,3.108282 -0.760648 0.000000,3.496817 -0.855729 0.000000,3.885352 -0.950811 0.000000,4.273887 -1.045892 0.000000,4.662422 -1.140973 0.000000,5.050957 -1.236054 0.000000,5.439493 -1.331135 0.000000,5.828028 -1.426216 0.000000,6.216563 -1.521297 0.000000,6.605098 -1.616378 0.000000,6.993633 -1.711459 0.000000,7.382169 -1.806540 0.000000,7.770704 -1.901621 0.000000,8.159239 -1.996702 0.000000,8.547774 -2.091783 0.000000,8.936309 -2.186864 0.000000,9.324845 -2.281945 0.000000,9.713380 -2.377026 0.000000,
0.385508 -0.106693 0.000000,0.771017 -0.213385 0.000000,1.156525 -0.320078 0.000000,1.542033 -0.426770 0.000000,1.927542 -0.533463 0.000000,2.313050 -0.640155 0.000000,2.698559 -0.746848 0.000000,3.084067 -0.853541 0.000000,3.469575 -0.960233 0.000000,3.855084 -1.066926 0.000000,4.240592 -1.173618 0.000000,4.626100 -1.280311 0.000000,5.011609 -1.387003 0.000000,5.397117 -1.493696 0.000000,5.782625 -1.600389 0.000000,6.168134 -1.707081 0.000000,6.553642 -1.813774 0.000000,6.939150 -1.920466 0.000000,7.324659 -2.027159 0.000000,7.710167 -2.133851 0.000000,8.095676 -2.240544 0.000000,8.481184 -2.347237 0.000000,8.866692 -2.453929 0.000000,9.252201 -2.560622 0.000000,9.637709 -2.667314 0.000000,
0.382135 -0.118208 0.000000,0.764269 -0.236416 0.000000,1.146404 -0.354624 0.000000,1.528538 -0.472832 0.000000,1.910673 -0.591040 0.000000,2.292808 -0.709248 0.000000,2.674942 -0.827457 0.000000,3.057077 -0.945665 0.000000,3.439211 -1.063873 0.000000,3.821346 -1.182081 0.000000,4.203481 -1.300289 0.000000,4.585615 -1.418497 0.000000,4.967750 -1.536705 0.000000,5.349884 -1.654913 0.000000,5.732019 -1.773121 0.000000,6.114154 -1.891329 0.000000,6.496288 -2.009537 0.000000,6.878423 -2.127745 0.000000,7.260557 -2.245954 0.000000,7.642692 -2.364162 0.000000,8.024827 -2.482370 0.000000,8.406961 -2.600578 0.000000,8.789096 -2.718786 0.000000,9.171230 -2.836994 0.000000,9.553365 -2.955202 0.000000,
0.378417 -0.129617 0.000000,0.756834 -0.259234 0.000000,1.135251 -0.388852 0.000000,1.513668 -0.518469 0.000000,1.892085 -0.648086 0.000000,2.270502 -0.777703 0.000000,2.648919 -0.907320 0.000000,3.027335 -1.036938 0.000000,3.405752 -1.166555 0.000000,3.784169 -1.296172 0.000000,4.162586 -1.425789 0.000000,4.541003 -1.555407 0.000000,4.919420 -1.685024 0.000000,5.297837 -1.814641 0.000000,5.676254 -1.944258 0.000000,6.054671 -2.073875 0.000000,6.433088 -2.203493 0.000000,6.811505 -2.333110 0.000000,7.189922 -2.462727 0.000000,7.568339 -2.592344 0.000000,7.946756 -2.721961 0.000000,8.325173 -2.851579 0.000000,8.703590 -2.981196 0.000000,9.082006 -3.110813 0.000000,9.460423 -3.240430 0.000000,
0.374359 -0.140910 0.000000,0.748717 -0.281819 0.000000,1.123076 -0.422729 0.000000,1.497435 -0.563639 0.000000,1.871794 -0.704548 0.000000,2.246152 -0.845458 0.000000,2.620511 -0.986368 0.000000,2.994870 -1.127278 0.000000,3.369229 -1.268187 0.000000,3.743587 -1.409097 0.000000,4.117946 -1.550007 0.000000,4.492305 -1.690916 0.000000,4.866663 -1.831826 0.000000,5.241022 -1.972736 0.000000,5.615381 -2.113645 0.000000,5.989740 -2.254555 0.000000,6.364098 -2.395465 0.000000,6.738457 -2.536374 0.000000,7.112816 -2.677284 0.000000,7.487175 -2.818194 0.000000,7.861533 -2.959104 0.000000,8.235892 -3.100013 0.000000,8.610251 -3.240923 0.000000,8.984610 -3.381833 0.000000,9.358968 -3.522742 0.000000,
0.369964 -0.152075 0.000000,0.739927 -0.304151 0.000000,1.109891 -0.456226 0.000000,1.479854 -0.608301 0.000000,1.849818 -0.760377 0.000000,2.219782 -0.912452 0.000000,2.589745 -1.064528 0.000000,2.959709 -1.216603 0.000000,3.329673 -1.368678 0.000000,3.699636 -1.520754 0.000000,4.069600 -1.672829 0.000000,4.439563 -1.824904 0.000000,4.809527 -1.976980 0.000000,5.179491 -2.129055 0.000000,5.549454 -2.281130 0.000000,5.919418 -2.433206 0.000000,6.289382 -2.585281 0.000000,6.659345 -2.737357 0.000000,7.029309 -2.889432 0.000000,7.399272 -3.041507 0.000000,7.769236 -3.193583 0.000000,8.139200 -3.345658 0.000000,8.509163 -3.497733 0.000000,8.879127 -3.649809 0.000000,9.249091 -3.801884 0.000000,
0.365236 -0.163104 0.000000,0.730471 -0.326208 0.000000,1.095707 -0.489313 0.000000,1.460942 -0.652417 0.000000,1.826178 -0.815521 0.000000,2.191413 -0.978625 0.000000,2.556649 -1.141729 0.000000,2.921885 -1.304833 0.000000,3.287120 -1.467938 0.000000,3.652356 -1.631042 0.000000,4.017591 -1.794146 0.000000,4.382827 -1.957250 0.000000,4.748062 -2.120354 0.000000,5.113298 -2.283459 0.000000,5.478534 -2.446563 0.000000,5.843769 -2.609667 0.000000,6.209005 -2.772771 0.000000,6.574240 -2.935875 0.000000,6.939476 -3.098979 0.000000,7.304712 -3.262084 0.000000,7.669947 -3.425188 0.000000,8.035183 -3.588292 0.000000,8.400418 -3.751396 0.000000,8.765654 -3.914500 0.000000,9.130889 -4.077605 0.000000,
0.360179 -0.173986 0.000000,0.720358 -0.347972 0.000000,1.080537 -0.521959 0.000000,1.440715 -0.695945 0.000000,1.800894 -0.869931 0.000000,2.161073 -1.043917 0.000000,2.521252 -1.217903 0.000000,2.881431 -1.391890 0.000000,3.241610 -1.565876 0.000000,3.601788 -1.739862 0.000000,3.961967 -1.913848 0.000000,4.322146 -2.087835 0.000000,4.682325 -2.261821 0.000000,5.042504 -2.435807 0.000000,5.402683 -2.609793 0.000000,5.762861 -2.783779 0.000000,6.123040 -2.957766 0.000000,6.483219 -3.131752 0.000000,6.843398 -3.305738 0.000000,7.203577 -3.479724 0.000000,7.563756 -3.653710 0.000000,7.923935 -3.827697 0.000000,8.284113 -4.001683 0.000000,8.644292 -4.175669 0.000000,9.004471 -4.349655 0.000000,
0.399820 0.000000 0.011998,0.799640 0.000000 0.023996,1.199460 0.000000 0.035995,1.599280 0.000000 0.047993,1.999100 0.000000 0.059991,2.398920 0.000000 0.071989,2.798740 0.000000 0.083987,3.198560 0.000000 0.095986,3.598380 0.000000 0.107984,3.998200 0.000000 0.119982,4.398020 0.000000 0.131980,4.797840 0.000000 0.143978,5.197660 0.000000 0.155977,5.597480 0.000000 0.167975,5.997300 0.000000 0.179973,6.397120 0.000000 0.191971,6.796940 0.000000 0.203969,7.196760 0.000000 0.215968,7.596580 0.000000 0.227966,7.996400 0.000000 0.239964,8.396220 0.000000 0.251962,8.796040 0.000000 0.263960,9.195860 0.000000 0.275959,9.595680 0.000000 0.287957,9.995500 0.000000 0.299955,
0.399640 0.011993 0.011998,0.799280 0.023986 0.023996,1.198920 0.035978 0.035995,1.598560 0.047971 0.047993,1.998201 0.059964 0.059991,2.397841 0.071957 0.071989,2.797481 0.083950 0.083987,3.197121 0.095942 0.095986,3.596761 0.107935 0.107984,3.996401 0.119928 0.119982,4.396041 0.131921 0.131980,4.795681 0.143914 0.143978,5.195321 0.155906 0.155977,5.594962 0.167899 0.167975,5.994602 0.179892 0.179973,6.394242 0.191885 0.191971,6.793882 0.203878 0.203969,7.193522 0.215870 0.215968,7.593162 0.227863 0.227966,7.992802 0.239856 0.239964,8.392442 0.251849 0.251962,8.792082 0.263842 0.263960,9.191722 0.275834 0.275959,9.591363 0.287827 0.287957,9.991003 0.299820 0.299955,
0.399101 0.023975 0.011998,0.798201 0.047950 0.023996,1.197302 0.071924 0.035995,1.596402 0.095899 0.047993,1.995503 0.119874 0.059991,2.394603 0.143849 0.071989,2.793704 0.167824 0.083987,3.192804 0.191798 0.095986,3.591905 0.215773 0.107984,3.991006 0.239748 0.119982,4.390106 0.263723 0.131980,4.789207 0.287698 0.143978,5.188307 0.311673 0.155977,5.587408 0.335647 0.167975,5.986508 0.359622 0.179973,6.385609 0.383597 0.191971,6.784709 0.407572 0.203969,7.183810 0.431547 0.215968,7.582911 0.455521 0.227966,7.982011 0.479496 0.239964,8.381112 0.503471 0.251962,8.780212 0.527446 0.263960,9.179313 0.551421 0.275959,9.578413 0.575395 0.287957,9.977514 0.599370 0.299955,
0.398202 0.035935 0.011998,0.796404 0.071870 0.023996,1.194606 0.107806 0.035995,1.592807 0.143741 0.047993,1.991009 0.179676 0.059991,2.389211 0.215611 0.071989,2.787413 0.251547 0.083987,3.185615 0.287482 0.095986,3.583817 0.323417 0.107984,3.982018 0.359352 0.119982,4.380220 0.395288 0.131980,4.778422 0.431223 0.143978,5.176624 0.467158 0.155977,5.574826 0.503093 0.167975,5.973028 0.539029 0.179973,6.371229 0.574964 0.191971,6.769431 0.610899 0.203969,7.167633 0.646834 0.215968,7.565835 0.682770 0.227966,7.964037 0.718705 0.239964,8.362239 0.754640 0.251962,8.760440 0.790575 0.263960,9.158642 0.826511 0.275959,9.556844 0.862446 0.287957,9.955046 0.898381 0.299955,
