0.399595 -0.017994 0.000000,0.799190 -0.035988 0.000000,1.198785 -0.053982 0.000000,1.598380 -0.071976 0.000000,1.997975 -0.089970 0.000000,2.397570 -0.107964 0.000000,2.797165 -0.125957 0.000000,3.196761 -0.143951 0.000000,3.596356 -0.161945 0.000000,3.995951 -0.179939 0.000000,4.395546 -0.197933 0.000000,4.795141 -0.215927 0.000000,5.194736 -0.233921 0.000000,5.594331 -0.251915 0.000000,5.993926 -0.269909 0.000000,6.393521 -0.287903 0.000000,6.793116 -0.305897 0.000000,7.192711 -0.323891 0.000000,7.592306 -0.341885 0.000000,7.991901 -0.359879 0.000000,8.391496 -0.377872 0.000000,8.791092 -0.395866 0.000000,9.190687 -0.413860 0.000000,9.590282 -0.431854 0.000000,9.989877 -0.449848 0.000000,
0.398381 -0.035951 0.000000,0.796762 -0.071903 0.000000,1.195143 -0.107854 0.000000,1.593524 -0.143806 0.000000,1.991905 -0.179757 0.000000,2.390287 -0.215709 0.000000,2.788668 -0.251660 0.000000,3.187049 -0.287611 0.000000,3.585430 -0.323563 0.000000,3.983811 -0.359514 0.000000,4.382192 -0.395466 0.000000,4.780573 -0.431417 0.000000,5.178954 -0.467368 0.000000,5.577335 -0.503320 0.000000,5.975716 -0.539271 0.000000,6.374097 -0.575223 0.000000,6.772479 -0.611174 0.000000,7.170860 -0.647126 0.000000,7.569241 -0.683077 0.000000,7.967622 -0.719028 0.000000,8.366003 -0.754980 0.000000,8.764384 -0.790931 0.000000,9.162765 -0.826883 0.000000,9.561146 -0.862834 0.000000,9.959527 -0.898785 0.000000,
0.396361 -0.053836 0.000000,0.792721 -0.107672 0.000000,1.189082 -0.161508 0.000000,1.585442 -0.215344 0.000000,1.981803 -0.269181 0.000000,2.378163 -0.323017 0.000000,2.774524 -0.376853 0.000000,3.170884 -0.430689 0.000000,3.567245 -0.484525 0.000000,3.963605 -0.538361 0.000000,4.359966 -0.592197 0.000000,4.756326 -0.646033 0.000000,5.152687 -0.699870 0.000000,5.549047 -0.753706 0.000000,5.945408 -0.807542 0.000000,6.341769 -0.861378 0.000000,6.738129 -0.915214 0.000000,7.134490 -0.969050 0.000000,7.530850 -1.022886 0.000000,7.927211 -1.076722 0.000000,8.323571 -1.130559 0.000000,8.719932 -1.184395 0.000000,9.116292 -1.238231 0.000000,9.512653 -1.292067 0.000000,9.909013 -1.345903 0.000000,
0.393537 -0.071612 0.000000,0.787075 -0.143224 0.000000,1.180612 -0.214835 0.000000,1.574150 -0.286447 0.000000,1.967687 -0.358059 0.000000,2.361225 -0.429671 0.000000,2.754762 -0.501283 0.000000,3.148300 -0.572895 0.000000,3.541837 -0.644506 0.000000,3.935375 -0.716118 0.000000,4.328912 -0.787730 0.000000,4.722450 -0.859342 0.000000,5.115987 -0.930954 0.000000,5.509525 -1.002566 0.000000,5.903062 -1.074177 0.000000,6.296600 -1.145789 0.000000,6.690137 -1.217401 0.000000,7.083675 -1.289013 0.000000,7.477212 -1.360625 0.000000,7.870750 -1.432237 0.000000,8.264287 -1.503848 0.000000,8.657824 -1.575460 0.000000,9.051362 -1.647072 0.000000,9.444899 -1.718684 0.000000,9.838437 -1.790296 0.000000,
0.389918 -0.089243 0.000000,0.779835 -0.178485 0.000000,1.169753 -0.267728 0.000000,1.559671 -0.356970 0.000000,1.949588 -0.446213 0.000000,2.339506 -0.535455 0.000000,2.729423 -0.624698 0.000000,3.119341 -0.713940 0.000000,3.509259 -0.803183 0.000000,3.899176 -0.892425 0.000000,4.289094 -0.981668 0.000000,4.679012 -1.070911 0.000000,5.068929 -1.160153 0.000000,5.458847 -1.249396 0.000000,5.848765 -1.338638 0.000000,6.238682 -1.427881 0.000000,6.628600 -1.517123 0.000000,7.018518 -1.606366 0.000000,7.408435 -1.695608 0.000000,7.798353 -1.784851 0.000000,8.188270 -1.874093 0.000000,8.578188 -1.963336 0.000000,8.968106 -2.052579 0.000000,9.358023 -2.141821 0.000000,9.747941 -2.231064 0.000000,
0.385508 -0.106693 0.000000,0.771017 -0.213385 0.000000,1.156525 -0.320078 0.000000,1.542033 -0.426770 0.000000,1.927542 -0.533463 0.000000,2.313050 -0.640155 0.000000,2.698559 -0.746848 0.000000,3.084067 -0.853541 0.000000,3.469575 -0.960233 0.000000,3.855084 -1.066926 0.000000,4.240592 -1.173618 0.000000,4.626100 -1.280311 0.000000,5.011609 -1.387003 0.000000,5.397117 -1.493696 0.000000,5.782625 -1.600389 0.000000,6.168134 -1.707081 0.000000,6.553642 -1.813774 0.000000,6.939150 -1.920466 0.000000,7.324659 -2.027159 0.000000,7.710167 -2.133851 0.000000,8.095676 -2.240544 0.000000,8.481184 -2.347237 0.000000,8.866692 -2.453929 0.000000,9.252201 -2.560622 0.000000,9.637709 -2.667314 0.000000,
0.380319 -0.123927 0.000000,0.760637 -0.247853 0.000000,1.140956 -0.371780 0.000000,1.521274 -0.495706 0.000000,1.901593 -0.619633 0.000000,2.281911 -0.743560 0.000000,2.662230 -0.867486 0.000000,3.042548 -0.991413 0.000000,3.422867 -1.115339 0.000000,3.803186 -1.239266 0.000000,4.183504 -1.363192 0.000000,4.563823 -1.487119 0.000000,4.944141 -1.611046 0.000000,5.324460 -1.734972 0.000000,5.704778 -1.858899 0.000000,6.085097 -1.982825 0.000000,6.465415 -2.106752 0.000000,6.845734 -2.230679 0.000000,7.226052 -2.354605 0.000000,7.606371 -2.478532 0.000000,7.986690 -2.602458 0.000000,8.367008 -2.726385 0.000000,8.747327 -2.850312 0.000000,9.127645 -2.974238 0.000000,9.507964 -3.098165 0.000000,
0.374359 -0.140910 0.000000,0.748717 -0.281819 0.000000,1.123076 -0.422729 0.000000,1.497435 -0.563639 0.000000,1.871794 -0.704548 0.000000,2.246152 -0.845458 0.000000,2.620511 -0.986368 0.000000,2.994870 -1.127278 0.000000,3.369229 -1.268187 0.000000,3.743587 -1.409097 0.000000,4.117946 -1.550007 0.000000,4.492305 -1.690916 0.000000,4.866663 -1.831826 0.000000,5.241022 -1.972736 0.000000,5.615381 -2.113645 0.000000,5.989740 -2.254555 0.000000,6.364098 -2.395465 0.000000,6.738457 -2.536374 0.000000,7.112816 -2.677284 0.000000,7.487175 -2.818194 0.000000,7.861533 -2.959104 0.000000,8.235892 -3.100013 0.000000,8.610251 -3.240923 0.000000,8.984610 -3.381833 0.000000,9.358968 -3.522742 0.000000,
0.367641 -0.157608 0.000000,0.735282 -0.315215 0.000000,1.102923 -0.472823 0.000000,1.470564 -0.630430 0.000000,1.838205 -0.788038 0.000000,2.205846 -0.945645 0.000000,2.573487 -1.103253 0.000000,2.941128 -1.260860 0.000000,3.308769 -1.418468 0.000000,3.676410 -1.576075 0.000000,4.044051 -1.733683 0.000000,4.411692 -1.891290 0.000000,4.779332 -2.048898 0.000000,5.146973 -2.206505 0.000000,5.514614 -2.364113 0.000000,5.882255 -2.521720 0.000000,6.249896 -2.679328 0.000000,6.617537 -2.836935 0.000000,6.985178 -2.994543 0.000000,7.352819 -3.152150 0.000000,7.720460 -3.309758 0.000000,8.088101 -3.467365 0.000000,8.455742 -3.624973 0.000000,8.823383 -3.782580 0.000000,9.191024 -3.940188 0.000000,
0.360179 -0.173986 0.000000,0.720358 -0.347972 0.000000,1.080537 -0.521959 0.000000,1.440715 -0.695945 0.000000,1.800894 -0.869931 0.000000,2.161073 -1.043917 0.000000,2.521252 -1.217903 0.000000,2.881431 -1.391890 0.000000,3.241610 -1.565876 0.000000,3.601788 -1.739862 0.000000,3.961967 -1.913848 0.000000,4.322146 -2.087835 0.000000,4.682325 -2.261821 0.000000,5.042504 -2.435807 0.000000,5.402683 -2.609793 0.000000,5.762861 -2.783779 0.000000,6.123040 -2.957766 0.000000,6.483219 -3.131752 0.000000,6.843398 -3.305738 0.000000,7.203577 -3.479724 0.000000,7.563756 -3.653710 0.000000,7.923935 -3.827697 0.000000,8.284113 -4.001683 0.000000,8.644292 -4.175669 0.000000,9.004471 -4.349655 0.000000,
